seq,site_id,brand_short,slug,genre,title,article_url,machine_status,expert_label,audit_ok,audit_patterns,review_priority,reviewed,reviewed_at,review_notes
1,eisei2shu-master,二衛,chubu-center,試験対策,中部安全衛生技術センター【受験情報・アクセス確認·第二種衛生管理者】,https://eisei2shu-master.jp/articles/chubu-center/,needs_rewrite,yes,yes,,A,yes,2026-06-11,v2リライト適用·audit PASS
2,eisei2shu-master,二衛,chushikoku-center,試験対策,中国四国安全衛生技術センター【受験情報・アクセス確認·第二種衛生管理者】,https://eisei2shu-master.jp/articles/chushikoku-center/,needs_rewrite,yes,yes,,A,yes,2026-06-11,v2リライト適用·audit PASS
3,eisei2shu-master,二衛,hokkaido-center,試験対策,北海道安全衛生技術センター【受験情報·定員·12:30到着·第二種】,https://eisei2shu-master.jp/articles/hokkaido-center/,needs_rewrite,yes,yes,,A,yes,2026-06-11,v2リライト適用·audit PASS
4,eisei2shu-master,二衛,kanto-center,試験対策,関東安全衛生技術センター【受験情報·定員·12:30到着·第二種】,https://eisei2shu-master.jp/articles/kanto-center/,needs_rewrite,yes,yes,,A,yes,2026-06-11,v2リライト·FAQ差別化·audit PASS
5,eisei2shu-master,二衛,kinki-center,試験対策,近畿安全衛生技術センター【受験情報·定員·12:30到着·第二種】,https://eisei2shu-master.jp/articles/kinki-center/,needs_rewrite,yes,yes,,A,yes,2026-06-11,v2リライト·audit PASS
6,eisei2shu-master,二衛,kyushu-center,試験対策,九州安全衛生技術センター【受験情報·定員·12:30到着·第二種】,https://eisei2shu-master.jp/articles/kyushu-center/,needs_rewrite,yes,yes,,A,yes,2026-06-11,v2リライト·audit PASS
7,eisei2shu-master,二衛,tohoku-center,試験対策,東北安全衛生技術センター【受験情報·定員·12:30到着·第二種】,https://eisei2shu-master.jp/articles/tohoku-center/,needs_rewrite,yes,yes,,A,yes,2026-06-11,v2リライト·audit PASS·地域7センター完
8,boiler-master.jp,ボイラー,cbt-computer-exam,出題・形式,2級ボイラー技士試験のマークシート対策｜CBTとの違い,https://boiler-master.jp/articles/cbt-computer-exam/,hand_done,yes,no,week_template,A,no,,
9,boiler-master.jp,ボイラー,exam-format-overview,出題・形式,2級ボイラー技士試験の形式概要｜40問·180分·マークシート,https://boiler-master.jp/articles/exam-format-overview/,hand_done,yes,no,week_template,A,no,,
10,boiler-master.jp,ボイラー,exam-scope-overview,出題・形式,2級ボイラー技士試験の出題範囲の概要｜公式テキストと4科目,https://boiler-master.jp/articles/exam-scope-overview/,hand_done,yes,no,week_template,A,no,,
11,boiler-master.jp,ボイラー,new-topics-trend,出題・形式,2級ボイラー技士試験の近年の出題トレンド,https://boiler-master.jp/articles/new-topics-trend/,hand_done,yes,no,week_template,A,no,,
