hub_file,slug,title,column,length,min_recommended
comparisons.csv,s35-gakushu-cmp,学習法の比較整理（基礎整理）,article_lead,34,40
comparisons.csv,s35-gakushu-cmp,学習法の比較整理（基礎整理）,memory_tip,14,15
comparisons.csv,s35-kakomon-diff,過去問の比較整理（基礎整理）,article_lead,34,40
comparisons.csv,s35-kakomon-diff,過去問の比較整理（基礎整理）,memory_tip,14,15
comparisons.csv,s36-moshi-cmp,模試の比較整理（実務連動）,article_lead,38,40
comparisons.csv,s36-moshi-cmp,模試の比較整理（実務連動）,memory_tip,13,15
comparisons.csv,s36-chokuzen-diff,直前の比較整理（実務連動）,article_lead,38,40
comparisons.csv,s36-chokuzen-diff,直前の比較整理（実務連動）,memory_tip,13,15
comparisons.csv,s37-anki-diff,暗記の比較整理（試験頻出）,article_lead,39,40
comparisons.csv,s37-anki-diff,暗記の比較整理（試験頻出）,memory_tip,13,15
comparisons.csv,s38-fukushu-cmp,復習の比較整理（判例・ガイド）,memory_tip,14,15
comparisons.csv,s39-keikaku-cmp,計画の比較整理（横断総合）,article_lead,37,40
comparisons.csv,s39-keikaku-cmp,計画の比較整理（横断総合）,memory_tip,13,15
comparisons.csv,s39-goukaku-diff,合格の比較整理（横断総合）,article_lead,37,40
comparisons.csv,s39-goukaku-diff,合格の比較整理（横断総合）,memory_tip,13,15
comparisons.csv,s40-jakuten-cmp,弱点克服の比較整理（基礎整理）,article_lead,35,40
comparisons.csv,s40-jikan-kanri-diff,時間管理の比較整理（基礎整理）,article_lead,35,40
comparisons.csv,s44-gakushu-kiroku-cmp,学習記録の比較整理（横断総合）,article_lead,39,40
comparisons.csv,s44-sogo-shiage-diff,総仕上げの比較整理（横断総合）,article_lead,39,40
numbers.csv,shikenryo-yohaku,受験手数料（記入例）,common_mistakes,19,20
numbers.csv,s35-gakushu-num,学習法の数値整理（基礎整理）,memory_tip,14,15
numbers.csv,s35-kakomon-cycle,過去問の数値整理（基礎整理）,memory_tip,14,15
numbers.csv,s36-moshi-num,模試の数値整理（実務連動）,memory_tip,13,15
numbers.csv,s36-chokuzen-cycle,直前の数値整理（実務連動）,memory_tip,13,15
numbers.csv,s37-anki-cycle,暗記の数値整理（試験頻出）,memory_tip,13,15
numbers.csv,s38-fukushu-num,復習の数値整理（判例・ガイド）,memory_tip,14,15
numbers.csv,s39-keikaku-num,計画の数値整理（横断総合）,memory_tip,13,15
numbers.csv,s39-goukaku-cycle,合格の数値整理（横断総合）,memory_tip,13,15
mistakes.csv,tochi-toji,地上権と土地賃借権,common_mistakes,15,20
mistakes.csv,senpaku-junni,先取特権の順位,common_mistakes,16,20
mistakes.csv,cooling-teiki,クーリング・オフと手付解除,common_mistakes,17,20
mistakes.csv,ichimon-jissen-kon,一問一答と実践演習の取り違え,memory_tip,13,15
mistakes.csv,yougo-hikaku-kon,用語解説だけで比較表を読まない,common_mistakes,15,20
mistakes.csv,yougo-hikaku-kon,用語解説だけで比較表を読まない,memory_tip,10,15
mistakes.csv,koushiki-youkou-kon,試験要項以外だけで申込判断,common_mistakes,17,20
mistakes.csv,koushiki-youkou-kon,試験要項以外だけで申込判断,memory_tip,11,15
mistakes.csv,s31-kon-past-mock,過去問と模擬試験の目的混同,common_mistakes,19,20
mistakes.csv,s31-kon-official,公式と非公式の優先順位誤り,common_mistakes,19,20
mistakes.csv,s31-kon-scope-pass,出題範囲と合格基準の混同,common_mistakes,19,20
mistakes.csv,s31-kon-ichimon-practice,一問一答と実践演習の混同,common_mistakes,19,20
mistakes.csv,s31-kon-glossary-only,用語だけで演習省略,common_mistakes,19,20
mistakes.csv,s31-kon-no-review,解説未読の解きっぱなし,common_mistakes,19,20
mistakes.csv,s31-kon-cram-only,直前詰め込みのみ,common_mistakes,19,20
mistakes.csv,s31-kon-hub-skip,ハブ未使用で演習のみ,common_mistakes,19,20
mistakes.csv,s31-kon-old-youkou,旧年度要項の流用,common_mistakes,19,20
mistakes.csv,s31-kon-weak-ignore,苦手放置で総得点のみ,common_mistakes,19,20
mistakes.csv,s33-kon-chokuzen-new,直前に新範囲だけ学習（取扱い深掘り）,common_mistakes,19,20
mistakes.csv,s33-kon-nigate-skip,苦手科目を完全スキップ,common_mistakes,19,20
mistakes.csv,s33-kon-kijutsu-skip,記述対策を省略,common_mistakes,19,20
mistakes.csv,s33-kon-taiken-only,体験記だけで計画,common_mistakes,19,20
mistakes.csv,s33-kon-no-sleep,睡眠削って詰め込み,common_mistakes,19,20
mistakes.csv,s33-kon-mock-panic,模試低得点で計画放棄,common_mistakes,19,20
mistakes.csv,s33-kon-pass-ignore,足切りを無視,common_mistakes,19,20
mistakes.csv,s33-kon-youkou-skip,直前要項未確認,common_mistakes,19,20
mistakes.csv,s33-kon-glossary-skip,用語を見ない,common_mistakes,19,20
mistakes.csv,s33-kon-error-no-note,直前誤答未記録,common_mistakes,19,20
mistakes.csv,s34-kon-all-new,直前週に全新範囲,common_mistakes,19,20
mistakes.csv,s34-kon-nigate-giveup,苦手を直前放棄,common_mistakes,19,20
mistakes.csv,s34-kon-kijutsu-cram,記述を一夜漬け,common_mistakes,19,20
mistakes.csv,s34-kon-taiken-blind,体験記を盲信,common_mistakes,19,20
mistakes.csv,s34-kon-overstudy,直前の過学習,common_mistakes,19,20
mistakes.csv,s34-kon-no-mock-review,最終模試を振り返らない,common_mistakes,19,20
mistakes.csv,s34-kon-youkou-old,旧要項のまま受験,common_mistakes,19,20
mistakes.csv,s34-kon-kit-forget,持ち物・時間配分未確認,common_mistakes,19,20
mistakes.csv,s34-kon-hub-never,直前ハブ未使用,common_mistakes,19,20
mistakes.csv,s34-kon-zero-rest,休息ゼロで突入,common_mistakes,19,20
mistakes.csv,s35-kon-gakushu-kon,学習法の典型誤答（基礎整理）,article_lead,34,40
mistakes.csv,s35-kon-gakushu-kon,学習法の典型誤答（基礎整理）,memory_tip,14,15
mistakes.csv,s35-kon-kakomon-gokai,過去問の典型誤答（基礎整理）,article_lead,34,40
mistakes.csv,s35-kon-kakomon-gokai,過去問の典型誤答（基礎整理）,memory_tip,14,15
mistakes.csv,s36-kon-moshi-kon,模試の典型誤答（実務連動）,article_lead,38,40
mistakes.csv,s36-kon-moshi-kon,模試の典型誤答（実務連動）,memory_tip,13,15
mistakes.csv,s36-kon-chokuzen-gokai,直前の典型誤答（実務連動）,article_lead,38,40
mistakes.csv,s36-kon-chokuzen-gokai,直前の典型誤答（実務連動）,memory_tip,13,15
mistakes.csv,s37-kon-anki-gokai,暗記の典型誤答（試験頻出）,article_lead,39,40
mistakes.csv,s37-kon-anki-gokai,暗記の典型誤答（試験頻出）,memory_tip,13,15
mistakes.csv,s38-kon-fukushu-kon,復習の典型誤答（判例・ガイド）,memory_tip,14,15
mistakes.csv,s39-kon-keikaku-kon,計画の典型誤答（横断総合）,article_lead,37,40
mistakes.csv,s39-kon-keikaku-kon,計画の典型誤答（横断総合）,memory_tip,13,15
mistakes.csv,s39-kon-goukaku-gokai,合格の典型誤答（横断総合）,article_lead,37,40
mistakes.csv,s39-kon-goukaku-gokai,合格の典型誤答（横断総合）,memory_tip,13,15
mistakes.csv,s40-kon-jakuten-kon,弱点克服の典型誤答（基礎整理）,article_lead,35,40
mistakes.csv,s40-kon-jikan-kanri-gokai,時間管理の典型誤答（基礎整理）,article_lead,35,40
mistakes.csv,s44-kon-gakushu-kiroku-kon,学習記録の典型誤答（横断総合）,article_lead,39,40
mistakes.csv,s44-kon-sogo-shiage-gokai,総仕上げの典型誤答（横断総合）,article_lead,39,40
